Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 01:08:15.623000,77,0 days 00:01:05.172000,17,"","",0 days 00:00:16.597000,0 days 00:00:28.785000,0 days 00:00:19.790000,311.0,245.0,281.0,314.0,soft,4.0
0 days 01:09:40.474000,77,0 days 00:01:24.851000,18,"",0 days 01:09:37.093000,0 days 00:00:20.558000,0 days 00:00:34.914000,0 days 00:00:29.379000,263.0,209.0,"",278.0,soft,5.0
0 days 01:11:34.113000,77,0 days 00:01:53.639000,19,0 days 01:10:08.945000,"",0 days 00:00:49.463000,0 days 00:00:40.079000,0 days 00:00:24.097000,274.0,179.0,282.0,210.0,soft,6.0
0 days 01:12:41.908000,77,0 days 00:01:07.795000,20,"","",0 days 00:00:16.590000,0 days 00:00:28.872000,0 days 00:00:22.333000,310.0,247.0,256.0,311.0,soft,7.0
0 days 01:14:05.782000,77,0 days 00:01:23.874000,21,"",0 days 01:14:02.341000,0 days 00:00:21.025000,0 days 00:00:36.576000,0 days 00:00:26.273000,192.0,225.0,"",214.0,soft,8.0
0 days 01:22:35.321000,77,"",22,0 days 01:22:04.201000,0 days 01:23:22.575000,"",0 days 00:00:36.439000,0 days 00:00:26.036000,275.0,221.0,"",273.0,soft,9.0
0 days 01:24:14.933000,77,0 days 00:01:39.612000,23,0 days 01:23:53.382000,"",0 days 00:00:45.016000,0 days 00:00:30.746000,0 days 00:00:23.850000,282.0,234.0,273.0,301.0,soft,10.0
0 days 01:25:23.462000,77,0 days 00:01:08.529000,24,"","",0 days 00:00:17.387000,0 days 00:00:30.240000,0 days 00:00:20.902000,286.0,235.0,270.0,293.0,soft,11.0
0 days 01:26:32.037000,77,0 days 00:01:08.575000,25,"","",0 days 00:00:17.353000,0 days 00:00:30.304000,0 days 00:00:20.918000,289.0,235.0,271.0,297.0,soft,12.0
0 days 01:27:40.518000,77,0 days 00:01:08.481000,26,"","",0 days 00:00:17.455000,0 days 00:00:30.132000,0 days 00:00:20.894000,291.0,235.0,271.0,298.0,soft,13.0
0 days 01:28:48.601000,77,0 days 00:01:08.083000,27,"","",0 days 00:00:17.216000,0 days 00:00:30.110000,0 days 00:00:20.757000,297.0,237.0,274.0,302.0,soft,14.0
0 days 01:29:57.315000,77,0 days 00:01:08.714000,28,"","",0 days 00:00:17.297000,0 days 00:00:30.343000,0 days 00:00:21.074000,290.0,233.0,274.0,296.0,soft,15.0
0 days 01:31:05.658000,77,0 days 00:01:08.343000,29,"","",0 days 00:00:17.271000,0 days 00:00:30.335000,0 days 00:00:20.737000,293.0,236.0,274.0,300.0,soft,16.0
0 days 01:32:14.315000,77,0 days 00:01:08.657000,30,"","",0 days 00:00:17.272000,0 days 00:00:30.443000,0 days 00:00:20.942000,291.0,235.0,275.0,297.0,soft,17.0
